mean,RMS,ptp,std,max,min
20.663,20.663,0.114,0.026,20.743,20.629
20.662,20.662,0.109,0.023,20.743,20.634
20.659,20.659,0.111,0.019,20.728,20.617
20.661,20.661,0.111,0.019,20.728,20.617
20.664,20.664,0.111,0.023,20.728,20.617
20.666,20.666,0.111,0.022,20.728,20.617
20.672,20.672,0.116,0.027,20.733,20.617
20.671,20.671,0.116,0.027,20.733,20.617
20.67,20.67,0.116,0.027,20.733,20.617
20.671,20.671,0.116,0.028,20.733,20.617
20.675,20.675,0.116,0.027,20.733,20.617
20.677,20.677,0.116,0.026,20.733,20.617
20.678,20.678,0.091,0.024,20.733,20.642
20.679,20.679,0.091,0.024,20.733,20.642
20.675,20.675,0.091,0.021,20.733,20.642
20.675,20.675,0.091,0.02,20.733,20.642
20.672,20.672,0.053,0.014,20.695,20.642
20.662,20.662,0.154,0.036,20.695,20.541
20.663,20.663,0.154,0.036,20.695,20.541
20.659,20.659,0.154,0.036,20.695,20.541
20.65,20.651,0.154,0.041,20.695,20.541
20.648,20.648,0.15,0.04,20.691,20.541
20.644,20.644,0.15,0.044,20.691,20.541
20.639,20.639,0.15,0.043,20.691,20.541
20.638,20.638,0.15,0.045,20.691,20.541
20.636,20.636,0.15,0.045,20.691,20.541
20.635,20.635,0.145,0.044,20.686,20.541
20.642,20.642,0.147,0.037,20.689,20.542
20.643,20.643,0.147,0.037,20.689,20.542
20.64,20.64,0.147,0.04,20.689,20.542
20.646,20.646,0.143,0.034,20.689,20.546
20.647,20.647,0.143,0.034,20.689,20.546
20.648,20.648,0.141,0.035,20.689,20.548
20.652,20.652,0.141,0.035,20.689,20.548
20.653,20.653,0.141,0.032,20.689,20.548
20.654,20.654,0.141,0.03,20.689,20.548
20.655,20.655,0.141,0.03,20.689,20.548
20.653,20.653,0.139,0.035,20.685,20.546
20.655,20.655,0.157,0.036,20.703,20.546
20.659,20.659,0.157,0.033,20.703,20.546
20.66,20.66,0.157,0.033,20.703,20.546
20.665,20.665,0.207,0.037,20.753,20.546
20.669,20.669,0.207,0.03,20.753,20.546
20.672,20.672,0.218,0.035,20.764,20.546
20.674,20.674,0.218,0.034,20.764,20.546
20.681,20.681,0.218,0.038,20.764,20.546
20.681,20.681,0.218,0.038,20.764,20.546
20.687,20.687,0.105,0.029,20.764,20.659
20.689,20.689,0.11,0.032,20.769,20.659
20.691,20.691,0.11,0.031,20.769,20.659
20.692,20.692,0.11,0.031,20.769,20.659
20.687,20.687,0.112,0.03,20.769,20.657
20.689,20.689,0.112,0.029,20.769,20.657
20.686,20.686,0.122,0.026,20.769,20.647
20.684,20.684,0.134,0.028,20.769,20.635
20.674,20.674,0.16,0.027,20.769,20.609
20.673,20.673,0.16,0.028,20.769,20.609
20.669,20.669,0.16,0.027,20.769,20.609
20.662,20.662,0.093,0.021,20.702,20.609
20.658,20.658,0.093,0.021,20.702,20.609
20.657,20.657,0.093,0.021,20.702,20.609
20.656,20.656,0.093,0.022,20.702,20.609
20.656,20.656,0.084,0.021,20.693,20.609
20.655,20.655,0.084,0.02,20.693,20.609
20.662,20.662,0.147,0.031,20.756,20.609
20.667,20.667,0.12,0.032,20.756,20.636
20.67,20.67,0.118,0.035,20.756,20.638
20.67,20.67,0.118,0.035,20.756,20.638
20.673,20.673,0.117,0.033,20.756,20.639
20.676,20.676,0.117,0.032,20.756,20.639
20.676,20.676,0.117,0.031,20.756,20.639
20.676,20.676,0.116,0.031,20.756,20.64
20.674,20.674,0.119,0.032,20.756,20.637
20.674,20.674,0.119,0.032,20.756,20.637
20.668,20.668,0.112,0.026,20.749,20.637
20.67,20.67,0.112,0.026,20.749,20.637
20.675,20.675,0.149,0.034,20.786,20.637
20.677,20.677,0.149,0.033,20.786,20.637
20.681,20.681,0.149,0.037,20.786,20.637
20.68,20.68,0.149,0.038,20.786,20.637
20.679,20.679,0.149,0.038,20.786,20.637
20.687,20.687,0.15,0.043,20.786,20.636
20.688,20.688,0.15,0.042,20.786,20.636
20.692,20.692,0.15,0.044,20.786,20.636
20.691,20.691,0.15,0.045,20.786,20.636
20.689,20.689,0.15,0.044,20.786,20.636
20.681,20.681,0.141,0.038,20.777,20.636
20.68,20.68,0.141,0.038,20.777,20.636
20.675,20.675,0.141,0.034,20.777,20.636
20.674,20.674,0.141,0.035,20.777,20.636
20.676,20.676,0.141,0.038,20.777,20.636
20.67,20.67,0.136,0.028,20.777,20.641
20.672,20.672,0.136,0.034,20.777,20.641
20.673,20.673,0.132,0.036,20.773,20.641
20.674,20.674,0.132,0.036,20.773,20.641
20.673,20.673,0.132,0.036,20.773,20.641
20.672,20.672,0.136,0.037,20.773,20.637
20.672,20.672,0.136,0.037,20.773,20.637
20.671,20.671,0.136,0.037,20.773,20.637
20.675,20.675,0.136,0.039,20.773,20.637
20.674,20.674,0.136,0.035,20.773,20.637
20.673,20.673,0.136,0.036,20.773,20.637
20.672,20.672,0.119,0.032,20.756,20.637
20.671,20.671,0.132,0.032,20.764,20.632
20.677,20.677,0.137,0.036,20.769,20.632
20.68,20.68,0.143,0.039,20.775,20.632
20.684,20.684,0.143,0.038,20.775,20.632
20.685,20.685,0.143,0.037,20.775,20.632
20.69,20.69,0.149,0.04,20.781,20.632
20.69,20.69,0.149,0.038,20.781,20.632
20.69,20.69,0.149,0.038,20.781,20.632
20.691,20.691,0.149,0.037,20.781,20.632
20.694,20.694,0.149,0.039,20.781,20.632
20.689,20.689,0.127,0.035,20.781,20.654
20.688,20.688,0.134,0.037,20.788,20.654
20.686,20.686,0.134,0.034,20.788,20.654
20.689,20.689,0.134,0.038,20.788,20.654
20.688,20.688,0.141,0.039,20.788,20.647
20.685,20.685,0.141,0.035,20.788,20.647
20.688,20.688,0.141,0.039,20.788,20.647
20.688,20.688,0.141,0.039,20.788,20.647
20.688,20.688,0.141,0.039,20.788,20.647
20.681,20.681,0.141,0.037,20.788,20.647
20.682,20.682,0.141,0.036,20.788,20.647
20.677,20.677,0.152,0.032,20.787,20.635
20.675,20.675,0.152,0.032,20.787,20.635
20.669,20.669,0.152,0.025,20.787,20.635
20.668,20.668,0.168,0.026,20.787,20.619
20.669,20.669,0.168,0.028,20.787,20.619
20.668,20.669,0.146,0.025,20.765,20.619
20.668,20.669,0.146,0.026,20.765,20.619
20.67,20.67,0.146,0.028,20.765,20.619
20.671,20.671,0.146,0.028,20.765,20.619
20.671,20.671,0.146,0.028,20.765,20.619
20.674,20.674,0.146,0.029,20.765,20.619
20.674,20.674,0.146,0.029,20.765,20.619
20.675,20.675,0.146,0.029,20.765,20.619
20.677,20.677,0.115,0.027,20.765,20.65
20.673,20.673,0.124,0.026,20.765,20.641
20.672,20.672,0.103,0.024,20.744,20.641
20.673,20.673,0.103,0.024,20.744,20.641
20.672,20.672,0.103,0.022,20.744,20.641
20.681,20.681,0.135,0.034,20.776,20.641
20.682,20.682,0.135,0.033,20.776,20.641
20.681,20.681,0.135,0.032,20.776,20.641
20.683,20.683,0.135,0.032,20.776,20.641
20.686,20.686,0.135,0.031,20.776,20.641
20.688,20.688,0.135,0.03,20.776,20.641
20.692,20.692,0.122,0.029,20.776,20.654
20.688,20.688,0.131,0.029,20.776,20.645
20.688,20.688,0.131,0.029,20.776,20.645
20.689,20.689,0.131,0.029,20.776,20.645
20.682,20.682,0.08,0.017,20.725,20.645
20.683,20.683,0.08,0.018,20.725,20.645
20.683,20.683,0.08,0.017,20.725,20.645
20.686,20.686,0.118,0.021,20.763,20.645
20.685,20.685,0.118,0.022,20.763,20.645
20.683,20.683,0.118,0.022,20.763,20.645
20.68,20.68,0.118,0.021,20.763,20.645
20.681,20.681,0.108,0.02,20.763,20.655
20.687,20.687,0.108,0.028,20.763,20.655
20.684,20.684,0.128,0.03,20.763,20.635
20.684,20.684,0.128,0.03,20.763,20.635
20.683,20.683,0.128,0.03,20.763,20.635
20.681,20.681,0.128,0.031,20.763,20.635
20.678,20.678,0.121,0.03,20.756,20.635
20.677,20.677,0.121,0.03,20.756,20.635
20.68,20.68,0.121,0.031,20.756,20.635
20.681,20.681,0.121,0.031,20.756,20.635
20.686,20.686,0.121,0.034,20.756,20.635
20.68,20.68,0.113,0.028,20.748,20.635
20.68,20.68,0.103,0.026,20.748,20.645
20.679,20.679,0.103,0.027,20.748,20.645
20.679,20.679,0.103,0.027,20.748,20.645
20.68,20.68,0.103,0.027,20.748,20.645
20.678,20.678,0.092,0.023,20.739,20.647
20.68,20.68,0.092,0.023,20.739,20.647
20.677,20.677,0.092,0.021,20.739,20.647
20.681,20.681,0.092,0.022,20.739,20.647
20.677,20.677,0.072,0.017,20.719,20.647
20.678,20.678,0.072,0.017,20.719,20.647
20.68,20.68,0.072,0.016,20.719,20.647
20.682,20.682,0.068,0.016,20.719,20.651
20.683,20.683,0.068,0.016,20.719,20.651
20.685,20.685,0.065,0.015,20.719,20.654
20.687,20.687,0.065,0.015,20.719,20.654
20.687,20.687,0.065,0.015,20.719,20.654
20.69,20.69,0.065,0.015,20.719,20.654
20.688,20.688,0.056,0.015,20.71,20.654
20.691,20.691,0.077,0.018,20.731,20.654
20.691,20.691,0.077,0.018,20.731,20.654
20.69,20.69,0.077,0.019,20.731,20.654
20.688,20.688,0.086,0.02,20.731,20.645
20.687,20.687,0.086,0.02,20.731,20.645
20.685,20.685,0.086,0.021,20.731,20.645
20.684,20.684,0.086,0.02,20.731,20.645
20.681,20.681,0.086,0.021,20.731,20.645
20.677,20.677,0.086,0.02,20.731,20.645
20.674,20.674,0.086,0.02,20.731,20.645
20.67,20.67,0.049,0.013,20.694,20.645
20.669,20.669,0.049,0.012,20.694,20.645
20.668,20.668,0.046,0.01,20.691,20.645
20.668,20.668,0.044,0.01,20.691,20.647
20.667,20.667,0.038,0.01,20.685,20.647
20.668,20.668,0.038,0.01,20.685,20.647
20.667,20.667,0.038,0.01,20.685,20.647
20.669,20.669,0.038,0.01,20.685,20.647
20.67,20.67,0.038,0.01,20.685,20.647
20.673,20.673,0.041,0.011,20.691,20.65
20.674,20.674,0.041,0.011,20.691,20.65
20.676,20.676,0.047,0.012,20.697,20.65
20.678,20.678,0.049,0.012,20.699,20.65
20.68,20.68,0.049,0.011,20.699,20.65
20.682,20.682,0.041,0.009,20.699,20.658
20.683,20.683,0.032,0.008,20.699,20.667
20.686,20.686,0.059,0.012,20.726,20.667
20.692,20.692,0.102,0.024,20.769,20.667
20.691,20.691,0.103,0.024,20.769,20.666
20.692,20.692,0.103,0.024,20.769,20.666
20.696,20.696,0.103,0.028,20.769,20.666
20.691,20.691,0.135,0.032,20.769,20.634
20.693,20.693,0.135,0.034,20.769,20.634
20.694,20.694,0.135,0.034,20.769,20.634
20.694,20.694,0.135,0.034,20.769,20.634
20.695,20.695,0.135,0.036,20.769,20.634
20.693,20.693,0.135,0.036,20.769,20.634
20.688,20.688,0.133,0.03,20.767,20.634
20.687,20.687,0.133,0.03,20.767,20.634
20.685,20.685,0.133,0.03,20.767,20.634
20.678,20.678,0.133,0.027,20.767,20.634
20.681,20.681,0.116,0.025,20.767,20.651
20.677,20.677,0.099,0.019,20.75,20.651
20.677,20.677,0.099,0.019,20.75,20.651
20.676,20.676,0.099,0.019,20.75,20.651
20.673,20.673,0.056,0.014,20.707,20.651
20.671,20.671,0.056,0.013,20.707,20.651
20.67,20.67,0.056,0.013,20.707,20.651
20.67,20.67,0.056,0.012,20.707,20.651
20.67,20.67,0.056,0.012,20.707,20.651
20.671,20.671,0.053,0.011,20.707,20.654
20.671,20.671,0.069,0.012,20.707,20.638
20.674,20.674,0.11,0.019,20.748,20.638
20.672,20.672,0.11,0.018,20.748,20.638
20.674,20.674,0.126,0.025,20.764,20.638
20.678,20.678,0.126,0.029,20.764,20.638
20.68,20.68,0.126,0.029,20.764,20.638
20.681,20.681,0.126,0.028,20.764,20.638
20.682,20.682,0.126,0.028,20.764,20.638
20.683,20.683,0.126,0.029,20.764,20.638
20.685,20.685,0.126,0.029,20.764,20.638
20.688,20.688,0.111,0.028,20.764,20.653
20.687,20.687,0.111,0.025,20.764,20.653
20.692,20.692,0.111,0.024,20.764,20.653
20.691,20.692,0.11,0.019,20.763,20.653
20.689,20.689,0.064,0.013,20.717,20.653
20.691,20.691,0.072,0.015,20.725,20.653
20.692,20.692,0.072,0.014,20.725,20.653
20.692,20.692,0.072,0.014,20.725,20.653
20.694,20.694,0.057,0.012,20.725,20.668
20.694,20.694,0.051,0.011,20.725,20.674
20.694,20.694,0.051,0.011,20.725,20.674
20.693,20.693,0.051,0.012,20.725,20.674
20.689,20.689,0.073,0.015,20.725,20.652
20.69,20.69,0.073,0.014,20.725,20.652
20.69,20.69,0.073,0.015,20.725,20.652
20.685,20.686,0.056,0.015,20.708,20.652
20.684,20.684,0.056,0.015,20.708,20.652
20.683,20.683,0.056,0.016,20.708,20.652
20.68,20.68,0.056,0.017,20.708,20.652
20.679,20.679,0.056,0.016,20.708,20.652
20.678,20.678,0.056,0.016,20.708,20.652
20.676,20.676,0.055,0.015,20.707,20.652
20.676,20.676,0.055,0.014,20.707,20.652
20.673,20.673,0.063,0.013,20.707,20.644
20.672,20.672,0.055,0.012,20.699,20.644
20.674,20.674,0.055,0.012,20.699,20.644
20.672,20.672,0.055,0.012,20.699,20.644
20.673,20.673,0.055,0.012,20.699,20.644
20.675,20.675,0.055,0.012,20.699,20.644
20.675,20.675,0.055,0.012,20.699,20.644
20.676,20.676,0.058,0.013,20.702,20.644
20.678,20.678,0.062,0.015,20.706,20.644
20.68,20.68,0.062,0.015,20.706,20.644
20.682,20.682,0.048,0.014,20.706,20.658
20.684,20.685,0.059,0.016,20.717,20.658
20.686,20.686,0.059,0.016,20.717,20.658
20.687,20.687,0.059,0.014,20.717,20.658
20.69,20.69,0.059,0.015,20.717,20.658
20.69,20.69,0.059,0.016,20.717,20.658
20.692,20.692,0.059,0.015,20.717,20.658
20.692,20.692,0.059,0.016,20.717,20.658
20.692,20.692,0.056,0.014,20.717,20.661
20.692,20.692,0.056,0.014,20.717,20.661
20.694,20.694,0.056,0.013,20.717,20.661
20.692,20.692,0.053,0.012,20.714,20.661
20.692,20.692,0.053,0.012,20.714,20.661
20.694,20.694,0.053,0.012,20.714,20.661
20.692,20.692,0.05,0.011,20.711,20.661
20.69,20.69,0.038,0.011,20.711,20.673
20.688,20.688,0.052,0.012,20.711,20.659
20.686,20.686,0.053,0.014,20.709,20.656
20.685,20.685,0.053,0.014,20.709,20.656
20.683,20.683,0.053,0.014,20.709,20.656
20.681,20.681,0.053,0.013,20.709,20.656
20.679,20.679,0.053,0.014,20.709,20.656
20.677,20.677,0.053,0.014,20.709,20.656
20.676,20.676,0.054,0.012,20.71,20.656
20.676,20.676,0.054,0.013,20.71,20.656
20.676,20.676,0.054,0.013,20.71,20.656
20.676,20.676,0.054,0.013,20.71,20.656
20.676,20.676,0.054,0.011,20.71,20.656
20.678,20.678,0.054,0.013,20.71,20.656
20.679,20.679,0.058,0.014,20.71,20.652
20.679,20.679,0.058,0.014,20.71,20.652
20.682,20.682,0.058,0.013,20.71,20.652
20.683,20.683,0.058,0.013,20.71,20.652
20.682,20.682,0.056,0.012,20.708,20.652
20.682,20.682,0.056,0.012,20.708,20.652
20.685,20.685,0.058,0.013,20.71,20.652
20.688,20.688,0.058,0.013,20.71,20.652
20.69,20.69,0.058,0.013,20.71,20.652
20.69,20.69,0.058,0.012,20.71,20.652
20.693,20.693,0.06,0.013,20.728,20.668
20.696,20.696,0.071,0.017,20.739,20.668
20.698,20.698,0.071,0.017,20.739,20.668
20.697,20.697,0.071,0.018,20.739,20.668
20.699,20.699,0.071,0.018,20.739,20.668
20.7,20.7,0.067,0.017,20.739,20.672
20.698,20.698,0.069,0.018,20.739,20.67
20.697,20.697,0.069,0.017,20.739,20.67
20.696,20.696,0.069,0.018,20.739,20.67
20.695,20.695,0.084,0.019,20.739,20.655
20.694,20.694,0.084,0.018,20.739,20.655
20.69,20.69,0.092,0.019,20.715,20.623
20.689,20.689,0.101,0.02,20.724,20.623
20.689,20.689,0.101,0.021,20.724,20.623
20.687,20.687,0.101,0.02,20.724,20.623
20.686,20.686,0.101,0.02,20.724,20.623
20.686,20.686,0.101,0.023,20.724,20.623
20.686,20.686,0.105,0.024,20.728,20.623
20.685,20.685,0.105,0.024,20.728,20.623
20.685,20.685,0.105,0.023,20.728,20.623
20.681,20.682,0.105,0.024,20.728,20.623
20.682,20.682,0.101,0.02,20.728,20.627
20.68,20.68,0.101,0.017,20.728,20.627
20.68,20.68,0.101,0.017,20.728,20.627
20.678,20.678,0.107,0.02,20.728,20.621
20.677,20.677,0.107,0.02,20.728,20.621
20.678,20.678,0.107,0.017,20.728,20.621
20.678,20.678,0.081,0.015,20.702,20.621
20.678,20.678,0.081,0.015,20.702,20.621
20.68,20.68,0.081,0.016,20.702,20.621
20.683,20.683,0.081,0.015,20.702,20.621
20.682,20.682,0.081,0.019,20.702,20.621
20.685,20.685,0.092,0.02,20.713,20.621
20.687,20.687,0.092,0.02,20.713,20.621
20.69,20.69,0.089,0.016,20.713,20.624
20.692,20.692,0.093,0.017,20.717,20.624
20.695,20.695,0.094,0.017,20.718,20.624
20.695,20.695,0.094,0.017,20.718,20.624
20.695,20.695,0.094,0.02,20.718,20.624
20.697,20.697,0.1,0.022,20.724,20.624
20.697,20.697,0.1,0.022,20.724,20.624
20.698,20.698,0.099,0.022,20.724,20.625
20.695,20.695,0.099,0.022,20.724,20.625
20.694,20.694,0.099,0.022,20.724,20.625
20.696,20.696,0.099,0.023,20.724,20.625
20.694,20.694,0.099,0.022,20.724,20.625
20.69,20.69,0.099,0.023,20.724,20.625
20.689,20.689,0.099,0.023,20.724,20.625
20.69,20.69,0.099,0.02,20.724,20.625
20.687,20.687,0.11,0.02,20.735,20.625
20.686,20.686,0.11,0.02,20.735,20.625
20.686,20.687,0.079,0.017,20.735,20.656
20.687,20.687,0.079,0.018,20.735,20.656
20.687,20.687,0.079,0.018,20.735,20.656
20.683,20.683,0.079,0.017,20.735,20.656
20.681,20.681,0.079,0.017,20.735,20.656
20.682,20.682,0.079,0.017,20.735,20.656
20.681,20.681,0.079,0.017,20.735,20.656
20.681,20.681,0.079,0.017,20.735,20.656
20.681,20.681,0.056,0.014,20.712,20.656
20.683,20.683,0.056,0.015,20.712,20.656
20.684,20.684,0.055,0.014,20.711,20.656
20.684,20.684,0.056,0.015,20.712,20.656
20.684,20.684,0.056,0.015,20.712,20.656
20.684,20.684,0.059,0.015,20.712,20.653
20.686,20.686,0.059,0.015,20.712,20.653
20.689,20.689,0.068,0.016,20.721,20.653
20.691,20.691,0.068,0.016,20.721,20.653
20.69,20.69,0.087,0.018,20.721,20.634
20.691,20.691,0.088,0.02,20.722,20.634
20.687,20.687,0.088,0.021,20.722,20.634
20.688,20.688,0.088,0.021,20.722,20.634
20.688,20.688,0.088,0.02,20.722,20.634
20.688,20.688,0.088,0.02,20.722,20.634
20.693,20.693,0.096,0.021,20.73,20.634
20.693,20.693,0.096,0.021,20.73,20.634
20.692,20.692,0.096,0.021,20.73,20.634
20.693,20.693,0.096,0.021,20.73,20.634
20.694,20.694,0.072,0.018,20.73,20.658
20.693,20.693,0.072,0.017,20.73,20.658
20.697,20.697,0.07,0.015,20.73,20.66
20.692,20.692,0.135,0.024,20.73,20.595
20.689,20.689,0.135,0.029,20.73,20.595
20.689,20.689,0.135,0.029,20.73,20.595
20.681,20.681,0.123,0.033,20.718,20.595
20.681,20.681,0.123,0.033,20.718,20.595
20.682,20.682,0.123,0.033,20.718,20.595
20.68,20.68,0.13,0.033,20.725,20.595
20.679,20.679,0.13,0.033,20.725,20.595
20.679,20.679,0.13,0.034,20.725,20.595
20.677,20.677,0.13,0.033,20.725,20.595
20.679,20.679,0.13,0.029,20.725,20.595
20.681,20.681,0.116,0.025,20.725,20.609
20.679,20.679,0.116,0.024,20.725,20.609
20.685,20.685,0.065,0.017,20.725,20.66
20.684,20.684,0.065,0.016,20.725,20.66
20.683,20.683,0.065,0.017,20.725,20.66
20.68,20.68,0.102,0.018,20.723,20.621
20.682,20.682,0.102,0.019,20.723,20.621
20.682,20.682,0.085,0.017,20.706,20.621
20.681,20.681,0.092,0.021,20.706,20.614
20.683,20.683,0.092,0.021,20.706,20.614
20.688,20.688,0.122,0.025,20.736,20.614
20.689,20.689,0.122,0.024,20.736,20.614
20.692,20.692,0.122,0.026,20.736,20.614
20.692,20.692,0.122,0.029,20.736,20.614
20.693,20.693,0.122,0.029,20.736,20.614
20.696,20.696,0.122,0.03,20.736,20.614
20.691,20.691,0.122,0.035,20.736,20.614
20.694,20.694,0.123,0.037,20.737,20.614
20.698,20.699,0.118,0.034,20.737,20.619
20.699,20.699,0.118,0.034,20.737,20.619
20.698,20.698,0.118,0.033,20.737,20.619
20.697,20.697,0.118,0.034,20.737,20.619
20.696,20.696,0.118,0.033,20.737,20.619
20.7,20.7,0.118,0.031,20.737,20.619
20.698,20.698,0.128,0.035,20.737,20.609
20.7,20.7,0.128,0.032,20.737,20.609
20.695,20.695,0.138,0.04,20.737,20.599
20.693,20.693,0.133,0.038,20.732,20.599
20.689,20.689,0.133,0.039,20.732,20.599
20.689,20.689,0.149,0.042,20.748,20.599
20.678,20.678,0.149,0.047,20.748,20.599
20.674,20.674,0.158,0.051,20.748,20.59
20.664,20.664,0.158,0.053,20.748,20.59
20.66,20.66,0.158,0.051,20.748,20.59
20.662,20.662,0.158,0.05,20.748,20.59
20.661,20.662,0.158,0.05,20.748,20.59
20.674,20.674,0.158,0.048,20.748,20.59
20.674,20.674,0.158,0.049,20.748,20.59
20.678,20.678,0.158,0.049,20.748,20.59
20.68,20.68,0.147,0.048,20.737,20.59
20.686,20.686,0.147,0.044,20.737,20.59
20.692,20.692,0.137,0.038,20.737,20.6
20.699,20.699,0.125,0.029,20.737,20.612
20.698,20.698,0.125,0.029,20.737,20.612
20.695,20.695,0.128,0.034,20.737,20.609
20.69,20.69,0.128,0.038,20.737,20.609
20.685,20.685,0.145,0.041,20.732,20.587
20.683,20.683,0.135,0.041,20.722,20.587
20.684,20.684,0.14,0.042,20.727,20.587
20.678,20.678,0.14,0.045,20.727,20.587
20.681,20.681,0.14,0.044,20.727,20.587
20.682,20.682,0.14,0.044,20.727,20.587
20.684,20.684,0.14,0.043,20.727,20.587
20.688,20.688,0.14,0.042,20.727,20.587
20.693,20.693,0.14,0.04,20.727,20.587
20.696,20.696,0.14,0.039,20.727,20.587
20.702,20.702,0.136,0.035,20.734,20.598
20.7,20.7,0.136,0.037,20.734,20.598
20.7,20.7,0.136,0.036,20.734,20.598
20.696,20.696,0.129,0.039,20.734,20.605
20.696,20.696,0.129,0.039,20.734,20.605
20.692,20.692,0.129,0.041,20.734,20.605
20.688,20.688,0.129,0.042,20.734,20.605
20.684,20.684,0.129,0.042,20.734,20.605
20.679,20.679,0.129,0.043,20.734,20.605
20.679,20.679,0.129,0.041,20.734,20.605
20.673,20.673,0.122,0.041,20.727,20.605
20.671,20.671,0.122,0.04,20.727,20.605
20.668,20.669,0.12,0.038,20.725,20.605
20.674,20.674,0.113,0.035,20.725,20.612
20.67,20.67,0.11,0.034,20.722,20.612
20.672,20.672,0.11,0.033,20.722,20.612
20.668,20.668,0.114,0.035,20.722,20.608
20.669,20.669,0.114,0.036,20.722,20.608
20.666,20.666,0.114,0.037,20.722,20.608
20.663,20.663,0.114,0.036,20.722,20.608
20.667,20.667,0.106,0.035,20.714,20.608
20.67,20.67,0.106,0.034,20.714,20.608
20.666,20.666,0.106,0.036,20.714,20.608
20.665,20.665,0.106,0.036,20.714,20.608
20.665,20.665,0.106,0.035,20.714,20.608
20.666,20.666,0.106,0.036,20.714,20.608
20.67,20.67,0.106,0.035,20.714,20.608
20.673,20.673,0.108,0.037,20.716,20.608
20.678,20.678,0.108,0.033,20.716,20.608
20.679,20.679,0.104,0.033,20.716,20.612
20.677,20.677,0.121,0.036,20.733,20.612
20.676,20.676,0.121,0.035,20.733,20.612
20.683,20.683,0.121,0.033,20.733,20.612
20.688,20.688,0.121,0.031,20.733,20.612
20.69,20.69,0.121,0.029,20.733,20.612
20.69,20.69,0.127,0.031,20.739,20.612
20.694,20.694,0.127,0.028,20.739,20.612
20.692,20.692,0.127,0.027,20.739,20.612
20.69,20.69,0.127,0.029,20.739,20.612
20.694,20.694,0.127,0.026,20.739,20.612
20.696,20.696,0.111,0.019,20.739,20.628
20.698,20.698,0.111,0.019,20.739,20.628
20.696,20.696,0.111,0.02,20.739,20.628
20.697,20.697,0.111,0.02,20.739,20.628
20.696,20.696,0.111,0.021,20.739,20.628
20.696,20.696,0.088,0.018,20.716,20.628
20.693,20.693,0.088,0.018,20.716,20.628
20.692,20.692,0.088,0.018,20.716,20.628
20.694,20.694,0.056,0.014,20.716,20.66
20.689,20.689,0.123,0.024,20.716,20.593
20.686,20.686,0.123,0.024,20.716,20.593
20.684,20.684,0.123,0.023,20.716,20.593
20.684,20.684,0.123,0.022,20.716,20.593
20.681,20.681,0.119,0.022,20.712,20.593
20.681,20.681,0.119,0.022,20.712,20.593
20.68,20.68,0.119,0.022,20.712,20.593
20.68,20.68,0.119,0.022,20.712,20.593
20.681,20.681,0.119,0.022,20.712,20.593
20.68,20.68,0.119,0.022,20.712,20.593
20.684,20.684,0.055,0.014,20.712,20.657
20.686,20.686,0.055,0.014,20.712,20.657
20.686,20.686,0.055,0.014,20.712,20.657
20.684,20.684,0.092,0.018,20.712,20.62
20.68,20.68,0.101,0.026,20.705,20.604
20.68,20.68,0.101,0.026,20.705,20.604
20.677,20.677,0.101,0.03,20.705,20.604
20.676,20.676,0.104,0.031,20.708,20.604
